prid,date_iso,date,call_money_vol_cr,call_money_wacr_pct,treps_vol_cr,treps_wacr_pct,market_repo_vol_cr,market_repo_wacr_pct,net_laf_cr,net_laf_day_cr,net_laf_total_cr
51305,2021-03-20,"March 20, 2021","1,541.45",2.97,"13,269.30",3.36,0.00,,"-4,55,946.94","-63,635.00","-4,55,946.94"
51306,2021-03-21,"March 21, 2021",0.00,-,0.00,-,0.00,-,"-4,59,663.94","-3,717.00","-4,59,663.94"
51311,2021-03-22,"March 22, 2021","16,161.76",3.27,"2,91,767.30",3.29,"91,205.99",3.27,"-419,547.29","-3,29,194.00","-419,547.29"
51316,2021-03-23,"March 23, 2021","15,698.94",3.26,"2,69,006.60",3.26,"1,09,791.89",3.30,"-4,40,224.29","-3,54,871.00","-4,40,224.29"
51321,2021-03-24,"March 24, 2021","16,292.32",3.27,"2,61,436.00",3.26,"1,11,732.74",3.30,"-4,48,490.94","-3,62,953.00","-4,48,490.94"
51330,2021-03-25,"March 25, 2021","14,574.87",3.24,"2,71,891.90",3.26,"1,10,838.79",3.25,"-4,68,793.94","-3,83,256.00","-4,68,793.94"
51338,2021-03-26,"March 26, 2021","12,671.70",3.23,"2,79,349.70",3.26,"1,07,582.96",3.25,"-3,78,424.94","-4,92,894.00","-3,78,424.94"
51339,2021-03-29,"March 29, 2021",0.00,-,0.00,-,0.00,-,"-425,053.94","-41,790.00","-425,053.94"
51348,2021-03-30,"March 30, 2021","11,551.13",3.22,"2,81,048.55",3.29,"90,317.67",3.32,"-4,97,860.94","-6,13,565.00","-4,97,860.94"
51369,2021-03-31,"March 31, 2021",314.50,3.47,"4,566.00",1.91,0.00,,"-3,79,891.54","-4,93,793.00","-3,79,891.54"
51370,2021-04-01,"April 01, 2021",0.00,-,0.00,-,0.00,-,"-4,56,829.54","-2,46,286.00","-4,56,829.54"
51371,2021-04-03,"April 03, 2021","3,960.50",3.15,"36,706.85",3.70,0.00,,"-571,236.54","-82,847.00","-571,236.54"
51372,2021-04-04,"April 04, 2021",0.00,-,0.00,-,0.00,-,"-579,710.54","-8,474.00","-579,710.54"
51376,2021-04-05,"April 05, 2021","9,528.09",3.11,"294,932.55",3.07,"113,190.33",3.13,"-606,647.54","-720,549.00","-606,647.54"
51379,2021-04-06,"April 06, 2021","9,527.04",3.13,"299,555.80",2.95,"115,911.44",3.00,"-615,679.94","-728,884.00","-615,679.94"
51388,2021-04-07,"April 07, 2021","10,360.36",3.14,"309,704.55",3.04,"114,652.17",2.98,"-606,785.94","-719,990.00","-606,785.94"
51396,2021-04-08,"April 08, 2021","9,835.24",3.13,"306,726.55",2.78,"118,183.47",2.95,"-579,421.94","-692,626.00","-579,421.94"
51404,2021-04-09,"April 09, 2021","10,777.45",3.15,"3,24,453.50",2.99,"1,11,684.55",2.86,"-6,18,498.94","-7,31,703.00","-6,18,498.94"
51405,2021-04-11,"April 11, 2021",0.00,-,0.00,-,0.00,-,"-625,604.94","-4,938.00","-625,604.94"
51414,2021-04-12,"April 12, 2021","8,994.37",3.21,"328,474.30",3.19,"106,635.59",3.00,"-535,970.94","-447,158.00","-535,970.94"
51416,2021-04-14,"April 14, 2021",0.00,-,0.00,-,0.00,-,"-5,87,357.94","-33,847.00","-5,87,357.94"
51429,2021-04-15,"April 15, 2021","10,174.21",3.20,"3,42,321.15",3.22,"1,04,733.36",3.02,"-5,86,008.94","-4,99,196.00","-5,86,008.94"
51437,2021-04-16,"April 16, 2021",404.15,2.70,"3,015.00",2.93,0.00,,"-555,234.94","-464,422.00","-555,234.94"
51438,2021-04-17,"April 17, 2021",534.20,2.78,"9,838.30",3.44,0.00,,"-584,555.94","-29,321.00","-584,555.94"
51439,2021-04-18,"April 18, 2021",0.00,-,0.00,-,0.00,-,"-588,083.94","-3,528.00","-588,083.94"
51446,2021-04-19,"April 19, 2021","11,468.94",3.23,"347,677.00",3.22,"109,846.75",3.09,"-580,716.94","-489,904.00","-580,716.94"
51452,2021-04-20,"April 20, 2021","11,172.03",3.23,"314,751.75",3.23,"108,714.02",3.12,"-469,290.94","-378,478.00","-469,290.94"
51453,2021-04-21,"April 21, 2021",0.00,-,0.00,-,0.00,-,"-511,652.94","-42,362.00","-511,652.94"
51462,2021-04-22,"April 22, 2021","12,199.67",3.24,"280,485.45",3.13,"155,923.00",3.12,"-512,759.94","-421,947.00","-512,759.94"
51472,2021-04-23,"April 23, 2021","11,074.66",3.21,"320,491.60",3.20,"106,850.92",3.09,"-480,705.94","-589,910.00","-480,705.94"
51473,2021-04-25,"April 25, 2021",0.00,-,0.00,-,0.00,-,"-4,93,106.94","-6,562.00","-4,93,106.94"
51479,2021-04-26,"April 26, 2021","10,905.75",3.20,"3,19,470.00",3.23,"1,08,190.88",3.14,"-5,09,231.94","-4,18,499.00","-5,09,231.94"
51486,2021-04-27,"April 27, 2021","10,778.18",3.20,"316,336.30",3.23,"109,731.43",3.14,"-513,607.94","-422,875.00","-513,607.94"
51493,2021-04-28,"April 28, 2021","12,017.50",3.22,"3,02,856.85",3.24,"1,03,705.99",3.13,"-5,12,690.94","-4,18,958.00","-5,12,690.94"
51500,2021-04-29,"April 29, 2021","12,149.01",3.22,"293,262.10",3.25,"103,860.48",3.16,"-525,354.94","-430,122.00","-525,354.94"
51513,2021-04-30,"April 30, 2021","10,583.16",3.21,"2,91,345.70",3.25,"97,419.96",3.16,"-5,13,903.94","-4,18,671.00","-5,13,903.94"
51514,2021-05-02,"May 02, 2021",0.00,-,0.00,-,0.00,-,"-550,444.94","-1,006.00","-550,444.94"
51520,2021-05-03,"May 03, 2021","11,479.54",3.21,"270,214.75",3.21,"110,924.79",3.20,"-538,837.94","-440,105.00","-538,837.94"
51531,2021-05-05,"May 05, 2021","12,034.85",3.24,"255,378.50",3.19,"111,253.07",3.21,"-550,635.94","-440,903.00","-550,635.94"
51539,2021-05-06,"May 06, 2021","12,367.03",3.24,"2,30,138.85",3.22,"1,23,039.62",3.22,"-4,81,445.29","-3,69,084.00","-4,81,445.29"
51551,2021-05-07,"May 07, 2021","12,231.52",3.22,"242,284.15",3.28,"108,941.29",3.24,"-474,554.29","-562,210.00","-474,554.29"
51552,2021-05-09,"May 09, 2021",0.00,-,0.00,-,0.00,-,"-491,781.29","-3,744.00","-491,781.29"
51555,2021-05-10,"May 10, 2021","12,783.91",3.24,"2,37,554.25",3.27,"1,17,689.09",3.30,"-4,92,598.29","-3,80,234.00","-4,92,598.29"
51560,2021-05-11,"May 11, 2021","11,625.86",3.21,"259,614.30",3.26,"108,118.82",3.29,"-503,097.29","-390,733.00","-503,097.29"
51570,2021-05-12,"May 12, 2021","6,847.59",3.31,"2,67,073.00",3.26,"1,10,520.14",3.30,"-4,51,734.29","-3,39,370.00","-4,51,734.29"
51572,2021-05-13,"May 13, 2021",0.00,-,0.00,-,0.00,-,"-5,12,510.29","-60,776.00","-5,12,510.29"
51582,2021-05-14,"May 14, 2021",79.25,2.71,502.00,2.50,0.00,,"-429,213.29","-316,849.00","-429,213.29"
51584,2021-05-15,"May 15, 2021","1,601.80",3.06,"8,076.05",3.41,0.00,,"-481,098.29","-51,885.00","-481,098.29"
51585,2021-05-16,"May 16, 2021",0.00,-,0.00,-,0.00,-,"-4,82,992.29","-1,894.00","-4,82,992.29"
51590,2021-05-17,"May 17, 2021","9,812.17",3.15,"2,80,771.20",3.28,"1,10,056.94",3.31,"-4,82,736.29","-3,70,387.00","-4,82,736.29"
51594,2021-05-18,"May 18, 2021","8,400.28",3.11,"277,292.40",3.28,"110,112.89",3.33,"-489,343.29","-377,394.00","-489,343.29"
51599,2021-05-19,"May 19, 2021","10,034.85",3.14,"2,70,322.15",3.29,"1,09,138.21",3.30,"-4,76,642.29","-3,64,693.00","-4,76,642.29"
51614,2021-05-20,"May 20, 2021","12,356.88",3.19,"252,892.95",3.29,"111,249.70",3.28,"-434,408.00","-318,532.00","-434,408.00"
51624,2021-05-21,"May 21, 2021","9,560.38",3.14,"2,61,744.55",3.32,"1,13,064.34",3.31,"-3,65,564.00","-4,49,708.00","-3,65,564.00"
51627,2021-05-23,"May 23, 2021",0.00,-,0.00,-,0.00,-,"-3,73,674.00","-1,191.00","-3,73,674.00"
51632,2021-05-24,"May 24, 2021","12,417.34",3.21,"2,69,664.25",3.32,"1,13,936.80",3.35,"-3,84,231.00","-2,68,354.00","-3,84,231.00"
51636,2021-05-25,"May 25, 2021","10,179.40",3.20,"258,729.50",3.27,"114,330.45",3.35,"-344,525.00","-228,648.00","-344,525.00"
51638,2021-05-26,"May 26, 2021",0.00,-,0.00,-,0.00,-,"-376,126.00","-31,601.00","-376,126.00"
51643,2021-05-27,"May 27, 2021","9,587.04",3.16,"258,688.40",3.26,"115,388.67",3.34,"-395,550.00","-279,673.00","-395,550.00"
51653,2021-05-28,"May 28, 2021",386.55,2.83,"1,171.90",2.84,0.00,,"-411,597.00","-295,720.00","-411,597.00"
51654,2021-05-29,"May 29, 2021",479.97,2.80,"6,054.20",3.29,0.00,,"-4,62,381.00","-50,784.00","-4,62,381.00"
51655,2021-05-30,"May 30, 2021",0.00,-,0.00,-,0.00,-,"-463,192.00",-811.00,"-463,192.00"
51660,2021-05-31,"May 31, 2021","10,664.04",3.18,"262,886.00",3.23,"109,585.58",3.30,"-475,026.00","-359,149.00","-475,026.00"
51664,2021-06-01,"June 01, 2021","8,763.01",3.12,"262,194.25",3.23,"114,263.68",3.29,"-518,440.00","-402,563.00","-518,440.00"
51673,2021-06-02,"June 02, 2021","8,984.84",3.12,"264,059.25",3.23,"110,967.16",3.29,"-520,374.00","-404,497.00","-520,374.00"
51681,2021-06-03,"June 03, 2021","7,682.97",3.09,"2,55,812.30",3.23,"1,18,775.87",3.30,"-5,22,454.00","-4,06,577.00","-5,22,454.00"
51692,2021-06-04,"June 04, 2021",531.95,2.85,"1,265.05",0.84,0.00,,"-474,857.00","-559,001.00","-474,857.00"
51693,2021-06-06,"June 06, 2021",0.00,-,0.00,-,0.00,-,"-5,10,371.00",-961.00,"-5,10,371.00"
51694,2021-06-05,"June 05, 2021",899.77,3.07,"5,381.35",3.64,0.00,,"-5,09,410.00","-34,553.00","-5,09,410.00"
51699,2021-06-07,"June 07, 2021","8,257.43",3.13,"253,304.15",3.25,"111,938.34",3.30,"-514,891.00","-398,856.00","-514,891.00"
51703,2021-06-08,"June 08, 2021","7,651.62",3.09,"2,55,144.10",3.18,"1,11,960.96",3.30,"-4,99,964.00","-3,83,929.00","-4,99,964.00"
51710,2021-06-09,"June 09, 2021","7,356.99",3.12,"262,786.15",3.21,"102,962.52",3.24,"-494,948.00","-378,913.00","-494,948.00"
51715,2021-06-10,"June 10, 2021","6,946.72",3.09,"246,559.35",3.23,"104,556.45",3.28,"-483,607.00","-367,572.00","-483,607.00"
51722,2021-06-11,"June 11, 2021","6,926.87",3.10,"2,52,859.75",3.26,"1,07,432.27",3.29,"-4,78,312.00","-3,62,277.00","-4,78,312.00"
51723,2021-06-13,"June 13, 2021",0.00,-,0.00,-,0.00,-,"-4,82,193.00","-1,588.00","-4,82,193.00"
51728,2021-06-14,"June 14, 2021","7,329.82",3.11,"2,59,293.95",3.26,"1,05,880.29",3.32,"-4,77,307.00","-3,61,272.00","-4,77,307.00"
51734,2021-06-15,"June 15, 2021","8,234.19",3.14,"2,50,391.90",3.24,"1,13,350.11",3.33,"-4,85,814.00","-3,74,015.00","-4,85,814.00"
51740,2021-06-16,"June 16, 2021","9,427.76",3.20,"2,46,986.25",3.26,"1,08,985.86",3.32,"-4,24,963.00","-3,13,654.00","-4,24,963.00"
51748,2021-06-17,"June 17, 2021","8,280.66",3.15,"2,28,788.70",3.27,"1,03,650.22",3.23,"-4,28,771.00","-3,17,462.00","-4,28,771.00"
51762,2021-06-18,"June 18, 2021",542.40,2.82,"1,072.35",2.03,0.00,,"-4,16,626.00","-5,05,496.00","-4,16,626.00"
51763,2021-06-19,"June 19, 2021",662.45,2.88,"6,578.20",3.39,0.00,,"-4,60,844.00","-44,218.00","-4,60,844.00"
51764,2021-06-20,"June 20, 2021",0.00,-,0.00,-,0.00,-,"-4,63,178.00","-2,334.00","-4,63,178.00"
51772,2021-06-21,"June 21, 2021","7,908.31",3.16,"2,41,333.80",3.28,"1,00,692.46",3.30,"-4,26,488.00","-3,14,349.00","-4,26,488.00"
51775,2021-06-22,"June 22, 2021","8,324.92",3.13,"2,76,941.80",3.27,"96,086.01",3.30,"-4,47,756.20","-3,45,816.00","-4,47,756.20"
51783,2021-06-23,"June 23, 2021","8,203.95",3.17,"2,96,689.20",3.25,"99,584.52",3.29,"-4,50,945.20","-3,49,005.00","-4,50,945.20"
51789,2021-06-24,"June 24, 2021","7,078.07",3.14,"3,00,135.55",3.25,"99,522.06",3.30,"-4,47,661.20","-3,45,721.00","-4,47,661.20"
51799,2021-06-25,"June 25, 2021","7,265.63",3.13,"3,06,843.20",3.24,"95,496.59",3.29,"-4,56,193.20","-3,54,253.00","-4,56,193.20"
51800,2021-06-27,"June 27, 2021",0.00,-,0.00,-,0.00,-,"-4,64,585.20",-5942,"-4,64,585.20"
51804,2021-06-28,"June 28, 2021","6,969.77",3.13,"3,12,369.60",3.24,"94,625.28",3.27,"-4,77,774.20","-3,75,834.00","-4,77,774.20"
51812,2021-06-29,"June 29, 2021","6,932.98",3.14,"3,08,897.65",3.22,"94,157.60",3.25,"-5,01,617.20","-4,01,214.00","-5,01,617.20"
51826,2021-06-30,"June 30, 2021","5,889.68",3.16,"3,02,534.40",3.22,"97,971.54",3.21,"-5,83,342.20","-4,84,804.00","-5,83,342.20"
51835,2021-07-01,"July 01, 2021","6,999.21",3.12,"2,98,886.60",3.20,"1,03,678.95",3.22,"-6,00,610.20","-5,02,072.00","-6,00,610.20"
51851,2021-07-02,"July 02, 2021",760.60,2.87,"1,557.75",3.21,0.00,,"-5,66,235.18","-6,68,715.00","-5,66,235.18"
51852,2021-07-03,"July 03, 2021",947.95,2.90,"7,150.50",3.19,0.00,,"-6,04,136.18","-37,901.00","-6,04,136.18"
51853,2021-07-04,"July 04, 2021",0.00,-,0.00,-,0.00,-,"-6,12,754.18","-8,618.00","-6,12,754.18"
51856,2021-07-05,"July 05, 2021","7,250.77",3.15,"3,18,297.30",3.23,"98,825.57",3.28,"-5,82,214.18","-4,82,734.00","-5,82,214.18"
51860,2021-07-06,"July 06, 2021","6,498.87",3.11,"3,08,675.05",3.24,"95,574.18",3.27,"-5,57,898.18","-4,58,418.00","-5,57,898.18"
51865,2021-07-07,"July 07, 2021","6,414.14",3.14,"3,14,968.20",3.24,"94,859.95",3.23,"-5,46,230.18","-4,46,750.00","-5,46,230.18"
51871,2021-07-08,"July 08, 2021","7,393.64",3.17,"3,28,450.05",3.01,"96,509.79",3.21,"-5,45,943.18","-4,46,463.00","-5,45,943.18"
51881,2021-07-09,"July 09, 2021","8,743.61",3.17,"2,73,542.55",3.19,"90,471.27",3.23,"-5,59,390.18","-4,59,910.00","-5,59,390.18"
51882,2021-07-11,"July 11, 2021",0.00,-,0.00,-,0.00,-,"-5,63,290.18",-986.00,"-5,63,290.18"
51885,2021-07-12,"July 12, 2021","8,626.23",3.20,"274,141.10",3.22,"86,377.49",3.24,"-549,929.18","-450,449.00","-549,929.18"
51889,2021-07-13,"July 13, 2021","8,276.98",3.18,"2,77,804.85",3.23,"89,328.57",3.22,"-5,61,357.20","-4,61,868.00","-5,61,357.20"
51896,2021-07-14,"July 14, 2021","9,794.62",3.21,"283,057.05",3.23,"82,796.49",3.23,"-555,101.20","-455,612.00","-555,101.20"
51906,2021-07-15,"July 15, 2021","8,515.01",3.19,"313,567.15",3.24,"86,632.40",3.24,"-608,957.20","-509,468.00","-608,957.20"
51917,2021-07-16,"July 16, 2021",753.70,2.94,"2,968.00",3.33,0.00,,"-563,735.20","-666,956.00","-563,735.20"
51918,2021-07-17,"July 17, 2021",733.25,2.91,"10,301.30",3.26,0.00,,"-5,97,073.20","-33,338.00","-5,97,073.20"
51919,2021-07-18,"July 18, 2021",0.00,-,0.00,-,0.00,-,"-5,98,503.20","-1,430.00","-5,98,503.20"
51926,2021-07-19,"July 19, 2021","8,789.44",3.21,"324,850.40",3.23,"87,709.58",3.23,"-580,354.20","-480,515.00","-580,354.20"
51932,2021-07-20,"July 20, 2021","8,761.49",3.20,"300,699.70",3.25,"87,172.31",3.24,"-526,376.20","-426,537.00","-526,376.20"
51933,2021-07-21,"July 21, 2021",0.00,-,0.00,-,0.00,-,"-526,472.20",-96.00,"-526,472.20"
51938,2021-07-22,"July 22, 2021","9,119.10",3.21,"293,848.35",3.24,"89,545.46",3.26,"-545,083.20","-445,244.00","-545,083.20"
51946,2021-07-23,"July 23, 2021","8,484.64",3.20,"312,057.70",3.25,"84,754.40",3.24,"-552,237.20","-451,498.00","-552,237.20"
51947,2021-07-25,"July 25, 2021",0.00,-,0.00,-,0.00,-,"-556,419.20","-1,259.00","-556,419.20"
51955,2021-07-26,"July 26, 2021","8,864.76",3.23,"315,239.30",3.24,"84,450.19",3.26,"-556,999.20","-456,260.00","-556,999.20"
51959,2021-07-27,"July 27, 2021","8,595.27",3.21,"3,36,721.05",3.23,"85,386.84",3.27,"-5,61,713.20","-4,60,374.00","-5,61,713.20"
51967,2021-07-28,"July 28, 2021","7,258.60",3.18,"335,335.00",3.22,"82,350.36",3.26,"-572,245.20","-470,906.00","-572,245.20"
51973,2021-07-29,"July 29, 2021","7,745.99",3.18,"3,48,576.20",3.20,"82,716.87",3.23,"-6,11,070.20","-5,15,171.00","-6,11,070.20"
51986,2021-07-30,"July 30, 2021",738.03,2.92,"2,988.25",2.61,0.00,,"-650,471.20","-757,809.00","-650,471.20"
51987,2021-07-31,"July 31, 2021",502.20,3.05,"19,675.45",3.33,0.00,,"-7,30,466.20","-79,995.00","-7,30,466.20"
51988,2021-08-01,"August 01, 2021",0.00,-,0.00,-,0.00,-,"-7,33,188.20","-2,722.00","-7,33,188.20"
51993,2021-08-02,"August 02, 2021","9,341.87",3.24,"2,80,541.15",3.21,"88,136.27",3.25,"-7,38,336.20","-6,41,963.00","-7,38,336.20"
51998,2021-08-03,"August 03, 2021","7,400.70",3.18,"285,414.80",3.19,"84,909.05",3.25,"-751,655.20","-655,282.00","-751,655.20"
52005,2021-08-04,"August 04, 2021","7,311.63",3.18,"273,524.20",3.15,"90,303.27",3.25,"-749,804.20","-653,431.00","-749,804.20"
52007,2021-08-05,"August 05, 2021","6,386.75",3.13,"301,007.55",3.03,"82,649.92",3.21,"-775,366.20","-678,993.00","-775,366.20"
52022,2021-08-06,"August 06, 2021",696.47,2.94,"2,074.25",2.82,0.00,,"-7,00,402.20","-6,04,029.00","-7,00,402.20"
52023,2021-08-07,"August 07, 2021",751.46,2.92,"6,478.15",3.33,61.00,2.90,"-7,38,653.20","-38,251.00","-7,38,653.20"
52024,2021-08-08,"August 08, 2021",0.00,-,0.00,-,0.00,-,"-7,42,143.20","-3,490.00","-7,42,143.20"
52028,2021-08-09,"August 09, 2021","6,936.87",3.18,"2,65,470.95",3.04,"79,531.41",3.15,"-7,26,783.20","-6,30,410.00","-7,26,783.20"
52034,2021-08-10,"August 10, 2021","7,581.21",3.19,"272,720.25",3.06,"79,431.34",3.10,"-749,660.20","-653,287.00","-749,660.20"
52041,2021-08-11,"August 11, 2021","8,400.40",3.22,"284,381.85",3.05,"81,361.54",3.05,"-740,106.20","-643,733.00","-740,106.20"
52050,2021-08-12,"August 12, 2021","8,491.42",3.21,"270,491.60",3.05,"81,286.59",2.96,"-736,735.20","-640,362.00","-736,735.20"
52066,2021-08-13,"August 13, 2021","6,705.23",3.15,"2,98,737.45",3.14,"85,385.02",3.07,"-7,26,739.20","-8,34,077.00","-7,26,739.20"
52067,2021-08-16,"August 16, 2021",0.00,-,0.00,-,0.00,-,"-791,264.20","-59,809.00","-791,264.20"
52073,2021-08-17,"August 17, 2021","9,364.63",3.23,"3,21,450.85",3.12,"89,294.88",3.15,"-7,78,977.20","-6,31,453.00","-7,78,977.20"
52080,2021-08-18,"August 18, 2021","3,727.38",3.20,"3,24,572.45",3.12,"88,330.35",3.14,"-7,30,783.20","-5,83,509.00","-7,30,783.20"
52083,2021-08-19,"August 19, 2021",0.00,-,0.00,-,0.00,-,"-7,91,998.20","-61,215.00","-7,91,998.20"
52090,2021-08-20,"August 20, 2021",370.90,2.97,"2,445.00",2.88,0.00,,"-687,086.20","-539,812.00","-687,086.20"
52091,2021-08-21,"August 21, 2021",695.15,2.82,"6,041.70",3.40,0.00,,"-7,21,515.20","-34,429.00","-7,21,515.20"
52092,2021-08-22,"August 22, 2021",0.00,-,0.00,-,0.00,-,"-7,26,250.20","-4,735.00","-7,26,250.20"
52098,2021-08-23,"August 23, 2021","8,560.00",3.22,"340,801.15",3.12,"88,959.41",3.15,"-705,841.20","-558,567.00","-705,841.20"
52103,2021-08-24,"August 24, 2021","6,799.92",3.15,"3,45,432.05",3.13,"90,918.27",3.17,"-7,24,164.20","-5,76,890.00","-7,24,164.20"
52109,2021-08-25,"August 25, 2021","7,091.91",3.19,"3,43,574.30",3.13,"89,391.18",3.15,"-7,19,758.20","-5,72,484.00","-7,19,758.20"
52120,2021-08-26,"August 26, 2021","10,114.22",3.23,"3,52,712.70",3.13,"90,331.94",3.10,"-7,43,658.20","-5,96,384.00","-7,43,658.20"
52162,2021-09-01,"September 01, 2021","7,572.61",3.19,"2,94,846.15",3.07,"93,271.02",3.13,"-8,57,445.20","-6,62,871.00","-8,57,445.20"
52166,2021-09-02,"September 02, 2021","7,113.30",3.16,"319,120.00",3.06,"94,600.90",3.11,"-908,786.20","-714,212.00","-908,786.20"
52176,2021-09-03,"September 03, 2021",520.10,2.85,"2,270.90",2.95,0.00,,"-8,78,113.20","-6,83,539.00","-8,78,113.20"
52177,2021-09-04,"September 04, 2021",816.25,2.90,"5,471.30",3.19,0.00,,"-9,14,997.20","-36,884.00","-9,14,997.20"
52178,2021-09-05,"September 05, 2021",0.00,-,0.00,-,0.00,-,"-9,20,611.20","-5,614.00","-9,20,611.20"
52183,2021-09-06,"September 06, 2021","7,578.62",3.15,"276,842.35",3.00,"98,079.81",3.08,"-878,767.20","-684,193.00","-878,767.20"
52189,2021-09-07,"September 07, 2021","7,340.80",3.15,"281,610.20",3.05,"90,547.20",3.09,"-872,225.20","-677,651.00","-872,225.20"
52199,2021-09-08,"September 08, 2021","6,937.91",3.14,"278,160.20",3.08,"87,018.97",3.09,"-840,720.20","-594,538.00","-840,720.20"
52213,2021-09-09,"September 09, 2021","6,730.96",3.14,"307,066.50",3.18,"88,648.67",3.15,"-779,543.20","-840,573.00","-779,543.20"
52214,2021-09-12,"September 12, 2021",0.00,-,0.00,-,0.00,-,"-8,60,781.20","-2,510.00","-8,60,781.20"
52222,2021-09-13,"September 13, 2021","6,969.05",3.15,"3,02,246.90",3.16,"97,984.08",3.20,"-8,38,944.20","-5,40,509.00","-8,38,944.20"
52229,2021-09-14,"September 14, 2021","6,654.19",3.14,"2,88,356.45",3.18,"91,961.20",3.21,"-8,46,135.20","-5,97,908.00","-8,46,135.20"
52236,2021-09-15,"September 15, 2021","7,083.47",3.18,"2,82,792.05",3.22,"90,136.96",3.23,"-7,98,750.20","-4,50,504.00","-7,98,750.20"
52241,2021-09-16,"September 16, 2021","6,737.39",3.15,"2,92,721.35",3.26,"96,287.61",3.28,"-7,23,835.20","-3,75,739.00","-7,23,835.20"
52249,2021-09-17,"September 17, 2021",413.85,2.80,"1,770.00",1.74,0.00,,"-667,840.20","-319,744.00","-667,840.20"
52250,2021-09-18,"September 18, 2021",460.70,2.81,"8,160.20",3.35,0.00,,"-7,11,129.20","-43,289.00","-7,11,129.20"
52251,2021-09-19,"September 19, 2021",0.00,-,0.00,-,0.00,-,"-7,13,895.20","-2,766.00","-7,13,895.20"
52259,2021-09-20,"September 20, 2021","8,425.55",3.21,"3,13,183.90",3.28,"89,846.12",3.30,"-6,71,798.20","-3,23,702.00","-6,71,798.20"
52266,2021-09-21,"September 21, 2021","7,726.10",3.18,"300,256.50",3.29,"96,821.09",3.32,"-675,480.20","-427,403.00","-675,480.20"
52275,2021-09-22,"September 22, 2021","7,088.98",3.16,"302,332.65",3.29,"94,922.54",3.31,"-685,355.20","-285,971.00","-685,355.20"
52284,2021-09-23,"September 23, 2021","9,795.87",3.22,"305,827.45",3.30,"90,783.96",3.25,"-741,925.20","-342,541.00","-741,925.20"
52297,2021-09-24,"September 24, 2021","6,650.06",3.15,"3,02,344.35",3.28,"96,942.73",3.30,"-7,32,736.20","-7,42,823.00","-7,32,736.20"
52298,2021-09-26,"September 26, 2021",0.00,-,0.00,-,0.00,-,"-7,47,780.20","-3,042.00","-7,47,780.20"
52306,2021-09-27,"September 27, 2021","6,409.18",3.15,"306,003.60",3.26,"93,708.96",3.31,"-720,455.20","-326,315.00","-720,455.20"
52312,2021-09-28,"September 28, 2021","7,564.98",3.19,"3,18,120.65",3.28,"86,733.69",3.30,"-7,43,441.20","-4,99,903.00","-7,43,441.20"
52319,2021-09-29,"September 29, 2021","10,276.06",3.25,"3,36,904.05",3.34,"87,651.10",3.32,"-7,29,466.20","-2,88,805.00","-7,29,466.20"
52334,2021-09-30,"September 30, 2021","10,424.61",3.37,"3,58,355.40",3.31,"86,332.79",3.31,"-8,03,058.20","-3,62,897.00","-8,03,058.20"
52343,2021-10-01,"October 01, 2021","7,847.28",3.22,"347,642.85",3.27,"106,172.75",3.28,"-832,940.20","-392,779.00","-832,940.20"
52344,2021-10-03,"October 03, 2021",0.00,-,0.00,-,0.00,-,"-8,50,321.20","-3,086.00","-8,50,321.20"
52350,2021-10-04,"October 04, 2021","7,443.67",3.20,"3,51,959.85",3.20,"1,08,664.89",3.29,"-8,45,950.20","-4,03,889.00","-8,45,950.20"
52355,2021-10-05,"October 05, 2021","5,850.64",3.20,"358,048.15",3.14,"101,514.77",3.24,"-865,165.20","-620,577.00","-865,165.20"
52361,2021-10-06,"October 06, 2021","6,077.52",3.19,"3,49,354.45",3.10,"99,602.14",3.19,"-8,07,965.20","-3,63,376.00","-8,07,965.20"
52365,2021-10-07,"October 07, 2021","6,625.60",3.17,"349,399.50",3.10,"96,789.37",3.17,"-783,487.20","-338,898.00","-783,487.20"
52383,2021-10-08,"October 08, 2021","11,547.80",3.28,"3,42,442.40",3.11,"1,02,090.30",3.15,"-7,51,470.20","-6,61,107.00","-7,51,470.20"
52385,2021-10-10,"October 10, 2021",0.00,-,0.00,-,0.00,-,"-7,66,173.20","-5,410.00","-7,66,173.20"
52391,2021-10-11,"October 11, 2021","9,614.84",3.27,"348,652.20",3.09,"102,304.76",3.15,"-763,045.20","-263,384.00","-763,045.20"
52399,2021-10-12,"October 12, 2021","5,762.05",3.18,"3,50,109.00",3.06,"1,01,967.86",3.10,"-7,71,191.20","-4,71,531.00","-7,71,191.20"
52407,2021-10-13,"October 13, 2021","6,937.60",3.27,"332,992.80",3.05,"105,257.35",3.05,"-764,401.20","-262,428.00","-764,401.20"
52417,2021-10-14,"October 14, 2021",904.35,3.20,"2,306.60",3.26,0.00,,"-7,09,768.20","-2,07,795.00","-7,09,768.20"
52418,2021-10-16,"October 16, 2021",488.40,2.82,"8,688.30",3.36,0.00,,"-7,61,381.20","-51,084.00","-7,61,381.20"
52419,2021-10-17,"October 17, 2021",0.00,-,0.00,-,0.00,-,"-766,684.20","-5,303.00","-766,684.20"
52428,2021-10-18,"October 18, 2021","8,249.58",3.30,"3,47,530.90",3.28,"98,645.41",3.26,"-7,02,471.20","-2,00,498.00","-7,02,471.20"
52429,2021-10-19,"October 19, 2021",0.00,-,0.00,-,0.00,-,"-743,077.20","-40,606.00","-743,077.20"
